      ,x1        ,x2       ,x3         ,x4       ,x5        ,x6        ,x7  ,x8       ,x9       ,x10      ,x11      ,x12   ,x13
 1000 , 95.36314 ,-0.53562 ,-103.85497 ,-3.23162 ,105.30315 ,33.67273  ,1.0 ,0.22940  ,0.70098  ,11.40641 ,-1.44667 ,True  ,4.24888
 1001 , 90.42148 ,-0.37853 ,-98.34132  ,-3.24100 ,100.34071 ,36.94651  ,2.0 ,0.10165  ,0.31643  ,11.68333 ,0.41460  ,True  ,4.02937
 1002 ,102.81492 ,-0.19175 ,-101.04960 ,-3.24151 ,112.65397 ,45.76570  ,2.0 ,-0.70650 ,0.98479  ,11.90823 ,-2.61896 ,False ,4.63550
 1003 , 94.44970 ,-0.16087 ,-100.48178 ,-3.21506 ,104.49003 ,25.99854  ,3.0 ,-1.33103 ,1.53911  ,12.33891 ,-3.13706 ,False ,4.22008
 1004 ,102.57432 ,-0.18654 ,-100.47722 ,-3.27313 ,112.28721 ,43.48132  ,4.0 ,1.19629  ,1.99053  ,11.27963 ,-0.07913 ,False ,4.62633
 1005 ,100.76438 ,0.03002  ,-98.65618  ,-3.22709 ,110.70944 ,15.90264  ,1.0 ,-0.21012 ,0.96060  ,10.90927 ,-0.58486 ,False ,4.54494
 1006 ,100.84056 ,-0.80304 ,-101.81093 ,-3.26440 ,110.66333 ,23.86442  ,4.0 ,0.97450  ,-1.61252 ,14.69861 ,-1.31826 ,True  ,4.53297
 1007 ,103.54839 ,0.03998  ,-101.19805 ,-3.23058 ,113.47296 ,21.41596  ,1.0 ,-0.61057 ,-0.77790 , 9.68147 ,0.13906  ,False ,4.67143
 1008 , 98.69807 ,-0.47214 ,-103.12559 ,-3.26125 ,108.52755 ,6.56328   ,2.0 ,-0.13921 ,1.33104  ,10.88607 ,-1.43335 ,True  ,4.41928
 1009 ,106.52023 ,0.73032  ,-107.02283 ,-3.23331 ,116.37614 ,48.01154  ,1.0 ,0.62007  ,-3.07192 , 9.21873 ,-4.23854 ,True  ,4.79090
 1010 , 89.60466 ,-0.25489 ,-99.12098  ,-3.21273 , 99.59936 ,14.18600  ,3.0 ,-1.97392 ,1.74434  ,12.03879 ,-1.27924 ,True  ,3.98463
 1011 ,102.85339 ,0.41310  ,-96.40818  ,-3.25546 ,112.86221 ,17.27139  ,2.0 ,-0.01957 ,0.65056  ,12.80036 ,3.85103  ,False ,4.66063
 1012 , 93.03546 ,-0.83323 ,-99.20118  ,-3.19804 ,102.96129 ,28.14944  ,3.0 ,-0.57491 ,-0.08343 ,10.68516 ,2.95484  ,True  ,4.15577
 1013 ,101.60141 ,0.01972  ,-101.04114 ,-3.21479 ,111.57747 ,19.04876  ,3.0 ,-1.07406 ,-0.51758 , 9.38011 ,-3.11296 ,False ,4.57486
 1014 , 98.92391 ,-0.53499 ,-100.23264 ,-3.24763 ,108.69005 ,40.16086  ,2.0 ,0.64683  ,-0.18489 ,11.24272 ,-2.33459 ,True  ,4.44503
 1015 ,108.18969 ,0.68146  ,-106.90279 ,-3.22145 ,118.20208 ,46.47678  ,1.0 ,-0.74727 ,-0.54467 ,12.42166 ,-1.67816 ,True  ,4.87497
 1016 , 98.00940 ,0.65051  ,-94.81733  ,-3.25257 ,107.85270 ,24.56982  ,2.0 ,1.27021  ,3.05804  , 9.81129 ,-2.50858 ,True  ,4.42638
 1017 , 96.66361 ,0.10236  ,-94.84069  ,-3.22881 ,106.58752 ,15.92522  ,1.0 ,-0.72428 ,-0.87308 ,13.80921 ,3.78198  ,False ,4.35898
 1018 ,107.42926 ,-0.08746 ,-105.29754 ,-3.21571 ,117.38408 ,31.06638  ,1.0 ,3.49046  ,-0.02177 ,12.93422 ,-4.90092 ,False ,4.84498
 1019 , 92.73982 ,0.04796  ,-98.04807  ,-3.25180 ,102.57771 ,17.52287  ,2.0 ,-1.66595 ,-1.10605 ,12.01194 ,-1.92617 ,False ,4.14675
 1020 ,102.00319 ,0.34126  ,-99.85476  ,-3.19863 ,111.94290 ,30.61172  ,3.0 ,1.38797  ,0.91073  ,11.31556 ,0.62992  ,False ,4.60089
 1021 , 99.34598 ,0.27072  ,-100.63495 ,-3.20228 ,109.28403 ,26.04175  ,3.0 ,-0.97154 ,-1.64200 , 8.57648 ,2.39909  ,False ,4.46412
 1022 , 99.65958 ,-0.33561 ,-99.92079  ,-3.23299 ,109.55218 ,43.63271  ,1.0 ,-0.84753 ,-1.84232 ,12.60021 ,-0.35220 ,True  ,4.48338
